VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,09/04/2018 08:14:58 PM,09/04/2018 08:22:21 PM,1,2.7,1,N,209,232,1,9.5,0.5,0.5,2.7,0,0.3,13.5
1,09/04/2018 08:35:14 PM,09/04/2018 08:45:25 PM,1,1.6,1,N,107,114,2,8.5,0.5,0.5,0,0,0.3,9.8
1,09/04/2018 08:49:19 PM,09/04/2018 09:00:49 PM,1,2.4,1,N,114,233,2,10.5,0.5,0.5,0,0,0.3,11.8
1,09/04/2018 08:00:59 PM,09/04/2018 08:13:14 PM,1,1.4,1,N,87,144,1,9.5,1,0.5,2.25,0,0.3,13.55
1,09/04/2018 08:16:22 PM,09/04/2018 08:21:57 PM,1,0.4,1,N,114,144,2,5,0.5,0.5,0,0,0.3,6.3
1,09/04/2018 08:31:59 PM,09/04/2018 08:37:24 PM,2,1.2,1,N,125,90,2,6,0.5,0.5,0,0,0.3,7.3
1,09/04/2018 08:39:15 PM,09/04/2018 08:48:07 PM,1,1.6,1,N,90,137,1,8,0.5,0.5,1.85,0,0.3,11.15
1,09/04/2018 08:52:47 PM,09/04/2018 08:59:23 PM,2,1.3,1,N,170,161,1,7,0.5,0.5,2.05,0,0.3,10.35
1,09/04/2018 08:22:02 PM,09/04/2018 09:02:03 PM,1,18.2,2,N,132,41,1,52,0,0.5,14.6,5.76,0.3,73.16
2,09/04/2018 08:07:53 PM,09/04/2018 08:19:20 PM,2,2.01,1,N,144,234,2,9.5,1,0.5,0,0,0.3,11.3
2,09/04/2018 08:38:14 PM,09/04/2018 09:13:22 PM,1,15.02,5,N,234,250,1,41.26,0,0,0,0,0.3,41.56
2,09/04/2018 08:47:37 PM,09/04/2018 09:24:09 PM,2,19.31,2,N,132,263,1,52,0,0.5,9,5.76,0.3,67.56
1,09/04/2018 08:51:55 PM,09/04/2018 08:56:25 PM,1,1,1,N,236,163,1,6,0.5,0.5,1,0,0.3,8.3
1,09/04/2018 08:53:39 PM,09/04/2018 09:13:03 PM,1,3.5,1,N,238,164,1,15,0.5,0.5,4.05,0,0.3,20.35
2,09/04/2018 08:17:34 PM,09/04/2018 08:21:22 PM,3,0.52,1,N,181,181,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,09/04/2018 08:26:29 PM,09/04/2018 08:32:41 PM,2,0.99,1,N,181,25,2,6,0.5,0.5,0,0,0.3,7.3
2,09/04/2018 08:38:53 PM,09/04/2018 08:43:29 PM,3,0.99,1,N,97,17,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,09/04/2018 08:25:52 PM,09/04/2018 08:37:49 PM,1,1.98,1,N,52,181,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,09/04/2018 08:42:14 PM,09/04/2018 09:04:07 PM,1,4.08,1,N,181,37,1,17,0.5,0.5,3.66,0,0.3,21.96
